title,content,media,keyword,date
原監督と「グータッチ」　高橋・大野・槇原・村田さんら往年の巨人名選手が指導　沖縄で野球教室,"
　プロ野球巨人の原辰徳監督（61）や前監督の高橋由伸さん（44）らを講師に招いた野球教室「ファンケル　キッズベースボール　2019」（報知新聞社主催）が7日、沖縄県那覇市の沖縄セルラーパーク那覇で開かれた。

　市内を中心に29チーム496人の小学生が参加。ボールの握りやグラブさばき、走塁などの指導を受けた。

　打撃指導では、高橋さんや県出身の大野倫さん（46）が模範スイングを披露。大飛球の連発に子どもたちは「オォー」と歓声を上げた。原監督も子どもと「グータッチ」で応えていた。

　槙原寛己さん（56）から投球フォームをアドバイスされた上間小6年のウォーターズ真佳さん（11）は「球の伸びがよくなった」とうれしそう。村田真一さん（56）から捕手の心構えを教わった金城小5年の上原琉空さん（10）は「進塁させない姿勢など勉強になった。将来はソフトバンクでプレーしたい」とほほ笑んだ。

　また、首里城再建に向けた支援金として、ファンケルの池森賢二会長から城間幹子市長に300万円が贈られた。",沖縄タイムス,ソフトバンク,2019年 12月 7日
ウィーワークの共同創業者アダム・ニューマン描く映画が始動,"
　2020年2月日本公開予定の映画『スキャンダル』を執筆したチャールズ・ランドルフが、コミュニティー型ワークスペースを提供・運営する企業、ウィーワーク（WeWork）の共同創業者アダム・ニューマン氏を描いた映画で、脚本を務めることが決定した。Wrapほか複数メディアが報じている。【動画】映画『スキャンダル』海外版予告編（英語）　本作は、ユニバーサル・ピクチャーズとブラムハウス・プロダクションズが共同で製作する予定の作品で、ジャーナリスト、カトリーナ・ブルッカーのこれから出版される著書を、ランドルフが脚色。ストーリーは、共同創業者としてウィーワークを起業したニューマン氏とソフトバンクグループの代表取締役会長兼社長の孫正義氏との関係を中心に描かれる。ソフトバンクは、ウィーワークの親会社ウィーカンパニーに対して、グループ全体で巨額の投資をしていたが、共同創業者でCEOでもあったニューマン氏が9月に辞任した。",シネマトゥデイ,ソフトバンク,2019年 12月 7日
日本のAI技術が世界を追い越すには？　孫正義社長と東大総長が対談,"
【なぐもんGO・40】日本のAI（人工知能）技術が遅れているといわれて久しい。この遅れを取り戻し先行する国を追い越すため、ソフトバンクと東京大学は世界最高峰の人と知が集まる場所を目指す「Beyond AI 研究所」の設立に向け協定を結んだ。ソフトバンクグループの孫正義代表取締役会長 兼 社長は、「遅れていると気がついたそこが始まり」と前向きな姿勢で、世界に打って出る算段を立てる。どのように実現するのだろうか。



　日本のAI技術が遅れているといわれる理由は、AI関連企業や人材が少ないなどさまざま。ソフトバンクと東大の協定を発表する会見では、AI特許の件数で表現してきた。例えば、中国の4170件、米国の2844件に対して、日本のそれは447件にとどまる。最多の中国をさらに細かく見ると、北京大学が持つ特許数は通信大手企業の約3倍だ。
 

 

　こうした状況を日本でも再現するため、ソフトバンクは大学と組むことを決定。なかでも「トップの頭脳が集まる」ことから東大との協定に至った。孫社長は「物を作らなければ立派な企業ではないという思い込みが、日本の企業に長年あったため、ソフトウェアの開発が遅れてしまった。ここから追いつき、追い越していく」と意気込みを語る。

　強気な発言の背景には、Beyond AI 研究所が持つ、他の産学連携とは一線を画している仕組みがある。同研究所は、大学と企業とのジョイントベンチャーを設立することで、研究成果の事業化を迅速に進めていく計画だ。事業で得た収益やデータは、研究所の資産になるほか、スポンサーへの還元にもあてられる。こうした循環を通して、次世代のAI研究や人材育成を進めていくことが研究所の役割なのだ。
 

　東京大学の五神真総長は、「日本の情報産業は発展の余地がある。ただ、企業や人材は限られているので、学生の学ぶ機会を増やし、会社を興すチャンスをどんどん増やしていきたい。今回がそのきっかけになるだろう」と期待する。
 

　孫社長は、「日本ではAIを学習する場が少なく、単なる基礎研究ばかりだった」と現状の問題点を指摘する。基礎研究だけでは、すぐに金銭には結びつかず、仕事にはならない。そして、仕事にならないと基礎研究の学習ばかりを繰り返すことになり、発展する機会は失われてしまう。この課題を解決するため、Beyond AI 研究所に10年間で200億円を投資するという。成果が現われるのは先のことになるが、世界のITの巨人に数えられる企業が台頭するのか、注目していきたい。（BCN・南雲 亮平）",BCN,ソフトバンク,2019年 12月 7日
【今週のキャッシュレスニュースまとめ】年末年始はスマホ決済がお得！　PayPay・LINE Pay・au PAYなどのキャンペーンをチェック,"
　クリスマスや年末年始など、なにかと買い物が多くなる12月。少しでも節約するなら、スマートフォン（スマホ）決済サービス各社が実施しているキャンペーンをうまく利用したいところだ。12月1日～12月7日で話題になったキャッシュレスニュースを振り返る。



●PayPayは年末もキャンペーン盛りだくさん
　登録ユーザー数が2000万人を突破するなど代表的サービスとして地位を築いているPayPayは、12月1日から「まちかどペイペイ」の第2弾をスタート。対象となる店舗は、キャッシュレス・消費者還元事業の対象で5％還元が適用されている店舗。決済すると20回に1回の確率で最大1000円相当のPayPayボーナスが当たる。付与上限は5000円相当/月。
 

　キャッシュレス・消費者還元事業の対象ではない家電量販店でも注目のキャンペーンがある。12月16日～22日に実施する「家電量販7Days」は、家電量販店でPayPay決済すると、1回当たり1000円、キャンペーン期間中合計5000円を上限に、決済額の10％相当のPayPayボーナスを付与する。対象はエディオングループ各社、ケーズデンキ、上新電機グループ各社、ビックカメラグループ各社、ヤマダ電機グループ各社。

　注意したいのは、ソフトバンク/ワイモバイルユーザー（所定の端末認証を行い、PayPayアカウントと連携したユーザー）限定ということ。法人契約や一部の端末、料金プランのユーザーは対象外となるので、自分の契約情報をよく確認してから利用してほしい。

　一方、12月17日から23日に100円ショップのダイソー限定で実施する「だんぜん！ダイソー」は、全てのPayPayユーザーが対象となる。全国のダイソー各店で1回、税込700円以上をPayPayで決済すると、100円相当のPayPayボーナスを付与する。通常は1回のみだが、ソフトバンク/ワイモバイルユーザー、Yahoo!プレミアム会員は、期間中2回まで適用可能で、合計最大200円相当のPayPayボーナスがもらえる。
●年明けのPayPayキャンペーンも続々発表
　年明けのキャンペーンも続々と発表されている。まず、月替わりキャンペーン「いつもどこかでワクワクペイペイ」として「ローソンおトクWeekキャンペーン」を開催。1月21日から27日まで、全国の「ローソン」「ナチュラルローソン」「ローソンストア100」で決済すると、最大10％相当のPayPayボーナスを付与する。
 

　PayPay残高かYahoo! JAPANカードによる支払い限定で、最大10％還元の対象になるのは、Yahoo!プレミアム会員とソフトバンク・ワイモバイルのスマホユーザーのみ。付与上限は1回当たり200円相当で、期間中は1000円相当としている。それ以外のユーザーは5％還元で、付与上限は1回当たり100円相当、期間中は1000円相当としている。

　12月6日には草津温泉街を対象とした「湯けむりPayPayキャンペーン」を発表。草津町に住所があるPayPay加盟店でPayPay決済すると、10％をポイント還元する。
 

　キャッシュレス・消費者還元事業対象店舗であれば、そちらの還元も加算され、最大15％のポイント付与を受けることができる。対象となるのは、PayPay残高かYahoo! JAPANカードによる支払い。1回当たりの上限は1000円相当、期間中合計で5000円相当。期間は1月14日～2月16日。
●LINE Payは「年末感謝クーポン祭」を開催
　使いやすいクーポンという形でキャンペーンを展開しているのがLINE Pay。19年12月1日10時～31日23時59分に、1人1回のみ好きなクーポンをダウンロードして対象店舗で利用できる「お好きなお店で、お好きな商品を『年末感謝クーポン祭』」を開催中だ。
 

　コンビニ、飲食店、スーパー、ドラッグストアなどで使える「LINE Payクーポン」を発行し、利用数が合計400万個に達したら終了する。「200円以下無料クーポン」「300円以下無料クーポン」などの場合、お釣りは出ないが、LINE Pay残高の金額にかかわらず、表示された金額以下の商品なら好きなものを選べる。
 

●1月の要注目キャンペーンは「au PAY×ファミマ」
　20年に突入直後で特に注目しておきたいのが、au PAY×ファミリーマートのキャンペーンだ。ファミマのau PAY対応を記念したもので、1月7日～20日の期間にau PAYで決済すると最大20％をポイント還元する。
 

　キャンペーン期間中に、au PAYサイト内のキャンペーンページからau IDログインを行いエントリーして、ファミリーマートで「au PAY」で決済すると還元を受けることができる。

　最大20％還元が受けられるのは、月額499円のauスマートパスプレミアム会員のみ。そのほかのユーザーは、最大10％相当のau WALLETポイントが還元される。付与上限は3000円相当。

　さまざまな団体が発表している今年の流行語にも「キャッシュレス」は軒並みランクインした。ブームに火が付いたのは昨年末だったので、1年間継続して話題になったということになる。キャッシュレス・消費者還元事業は来年6月までだが、そのあとにはマイナンバーカードを活用した制度も検討されており、キャンペーンをはじめとしたお得なチャンスにまだまだ期待がもてそうだ。（BCN・大蔵 大輔）",BCN,ソフトバンク,2019年 12月 7日
東大とソフトバンク、ＡＩ研究機関設立へ協定締結,"
　東京大と携帯電話大手ソフトバンクは６日、ＡＩ（人工知能）の研究機関を共同で設立するための協定を締結したと発表した。来年春にも基礎研究を行う拠点を設け、冬には応用研究拠点もつくる予定だ。研究機関の名称は「ビヨンドＡＩ研究所」。ソフトバンクとグループ会社が、１０年間で２００億円規模の研究費などを支援する。海外の大学からも研究者を招き、１５０人規模の体制を整える。",読売新聞オンライン,ソフトバンク,2019年 12月 7日
クラウドゲーミングはOSの垣根…いや、ある意味PCとスマホの垣根を超えた！ 「GeForce NOW Powered by SoftBank」,"
ソフトバンクとNVIDIAは、クラウドゲーミングサービス「GeForce NOW Powered by SoftBank」の第1次クローズドベータテストを、12月17日に開始します。

同サービスの特徴を、大きく2つに分けると、ひとつは「デバイスや場所に縛られずPCゲームがプレイ可能」という点。PCゲームを快適に遊ぶには、“ゲーミングPC”に代表されるようなハイスペック機が必要なイメージがありますが、同サービスはクラウド上にあるGPUサーバーで処理をすることで、高負荷のゲームでも、並のスペックのノートPC、さらにはスマートフォンやタブレットで楽しむことができます。ゲームデータもクラウド上に自動保存されます。",GetNavi web,ソフトバンク,2019年 12月 7日
女優・南沙良、ソフトバンク新TVCM『青春放題』に大抜擢！「とても驚き、同時にとても光栄に思いました」,"
■南沙良は、“午後の紅茶”TVCMでのJUJU「やさしさで溢れるように」の熱唱でも話題沸騰！
女優でモデルの南 沙良（みなみ・さら）が、ソフトバンクの新TVCMの追加キャストに抜擢された。【動画】ソフトバンク新TVCM『青春放題』篇／メイキング＆インタビュー岡田准一、賀来賢人らが出演するTVCM『青春放題』篇は、12月6日からオンエアがスタート。なお、CMにはラグビー日本代表のリーチマイケル、なにわ男子（関西ジャニーズJr.）の道枝駿佑も出演。その豪華な顔ぶれに注目が集まっている。

新TVCM『青春放題』篇は、ソフトバンクの新学割キャンペーン『SoftBank学割』の魅力を伝える学園ストーリー。岡田准一が歴史教師役・オカダ、賀来賢人が体育教師役・カクを演じ、青春を謳歌する生徒たちを見守る。南とともに追加キャストとして発表されたリーチマイケルは校長役、道枝駿佑は生徒役をそれぞれ務めている。

南は、CM映像の冒頭から登場。ラブレターを持った大勢の男子生徒が、校庭で、南演じる学園のマドンナの女子生徒を囲んで告白合戦を繰り広げる『告白放題』のシーンから始まる。あまりの数の多さに、南は困り顔。そんな光景をオカダ（岡田）とカク（賀来）が校舎からほほ笑ましく見守る。また『泣き放題』のシーンでは、試合に勝ったラグビー部員が感極まって校長（リーチ）に駆け寄り、ラグビー部のマネージャー（南）と勝利の喜びを分かち合う。

その他、トイレの鏡で懸命にヘアセットしてカッコつける生徒たちと一緒に、自分もバッチリ髪をセットし始めるカクの『カッコつけ放題』や、授業中に生徒（道枝）があの手この手を使って早弁に精を出し、歴史を教えるオカダに注意される『食べ放題』、生徒たちがスクールバスで歌いまくる『歌い放題』、生徒たちがプールに飛び込む『はしゃぎ放題』ほか、総勢約300人の生徒たちと思いっきり校庭を走るシーンなど、見どころ満載！　映像の最後には、リーチマイケルが「ONE TEAM（ワンチーム）」と叫ぶ、学園ドラマさながらの青春が詰まったCMだ。

音楽は、CMソングとして初起用となるTHE HIGH-LOWSの楽曲「青春」。好きな女の子への告白や部活の試合、早弁など、めいっぱい青春を謳歌する学生と、それを見守る教師を描いた、明るく爽やかな『青春放題』篇に注目だ。

南は、2002年生まれの17歳。昨年初主演を務めた映画『志乃ちゃんは自分の名前が言えない』で、報知映画賞、ブルーリボン賞など、4つの映画賞で新人賞を受賞し、注目を集める。来年3月4日放送の、フィルムカメラを題材にしたドラマ『ピンぼけの家族』（NHK）ではヒロインを、3月20日全国公開の映画『もみの家』では主演を務める。

南 沙良 コメント
今回、ソフトバンクさんの新テレビCMに出演させていただけると聞いたときは、とても驚きましたし、同時にとても光栄に思いました。私は今17歳ですが、友達との何気ない会話や共有した時間も、振り返ったとき“青春”として輝いて懐かしむことができるように、今もたくさんの思い出を作っています。好きなことを思い切り楽しみたくなる、そんな映像になっていると思いますので、ぜひご覧ください！

ソフトバンク YouTubeチャンネル
https://www.youtube.com/channel/UCcMKfz1n6L6erIlyyowlOOA

ソフトバンク OFFICIAL WEBSITE
https://www.softbank.jp/",エムオンプレス,ソフトバンク,2019年 12月 7日
